0 0 1 1
1 0.68 1 3
2 1.96 1 3.52
3 2.36 1 3.92
4 2.84 1 4.4
5 3.68 1 4.6
6 4 1 5
7 4.56 1 5.58
8 4.36 1 5.68
9 4.84 1 5.6
10 4.04 1 5.98
11 4.6 1 5.86
12 5.8 1 6.44
13 4.88 1 6.62
14 6.28 1 6.06
15 5.84 1 7.04
16 5.44 1 6.3
17 6.84 1 6.9
18 6.36 1 6.96
19 6.64 1 6.88
20 7.08 1 7.44
21 6 1 6.7
22 8.12 1 7.56
23 7.76 1 7.54
24 7.28 1 7.2
25 8.16 1 7.4
26 6.44 1 7.26
27 7.12 1 7.46
28 6.88 1 7.92
29 7.04 1 7.94
30 8.6 1 8.04
31 8.64 1 8.36
32 8.08 1 8.26
33 8.68 1 7.58
34 9.28 1 7.72
35 8.64 1 8.56
36 8.36 1 8.1
37 9.52 1 8.44
38 8.04 1 7.7
39 8.64 1 8.24
40 9.2 1 8.52
41 9.16 1 8.96
42 8.88 1 7.92
43 9.04 1 8.58
44 9.64 1 8.4
45 8.52 1 8.76
46 9.12 1 8.66
47 8.64 1 8.46
48 9 1 8.28
49 8.84 1 9.5
