0 2.09091 0.591837 0
1 2.35417 0.64 0.36
2 2.85106 0.68 0.612245
3 3.04082 0.54 0.66
4 3.1875 0.66 0.72
5 3.5122 0.64 0.673469
6 3.44681 0.7 1
7 3.85106 0.56 1
8 3.77551 0.48 1
9 3.85417 0.6 0.9375
10 3.70833 0.66 1.19565
11 3.85714 0.62 1
12 4 0.56 1.15556
13 3.78723 0.64 1.25532
14 4.17021 0.58 1
15 4.44 0.68 1.18367
16 4.06818 0.58 1.12245
17 4.26087 0.56 1.23404
18 4.44898 0.64 1.12245
19 4.51064 0.62 1
20 4.68889 0.58 1.33333
21 4.5 0.46 1
22 4.67391 0.74 1.30435
23 4.67347 1 1.32
24 4.95918 0.64 1.31915
25 2.45455 0.38 0.54
26 2.34783 0.4 0.612245
27 2.37778 0.42 0.6
28 2.32653 0.36 0.591837
29 2.44681 0 0.787234
30 2.51111 0 1
31 2.4186 0.4 0.520833
32 2.42222 0.32 0.625
33 2.59184 0.3 0.510204
34 2.5 0.44 0.5625
35 2.5625 0.22449 0.770833
36 2.5 0.26 0.653061
37 2.51163 0.28 0.673469
38 2.41304 0.28 0.571429
39 2.40426 0.3 0.72
40 2.42553 0 0.77551
41 2.37209 0.46 0.571429
42 2.47917 0.36 0.46
43 2.36957 0.36 0.673469
44 3.04444 0.56 0.897959
45 3.11364 0.58 1
46 3.36585 0.5 1
47 3.39583 0.6 1
48 3.22222 0.5 0.959184
49 3.27083 0.52 1.02041
